0|EAC4468893_1|1|1|emrC_Lis|emrC_Lis||1|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_transporter_outer_membrane_subunit_EmrC	QUATERNARY AMMONIUM
1105502127|WP_071846279_1|1|1|cmlA|cmlA|efflux|2|CHLORAMPHENICOL|PHENICOL|CmlA_family_chloramphenicol_efflux_MFS_transporter	PHENICOL
1105502128|WP_071846280_1|1|1|arr-3|arr-3|ADP-ribosyltransferase|2|RIFAMYCIN|RIFAMYCIN|NAD(+)--rifampin_ADP-ribosyltransferase_Arr-3	RIFAMYCIN
1105502129|WP_071846281_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502130|WP_071846282_1|1|1|dfrA12|dfrA12|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA12	TRIMETHOPRIM
1105502132|WP_071846284_1|1|1|catB8|catB8|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_B-3_chloramphenicol_O-acetyltransferase_CatB8	PHENICOL
1105502133|WP_071846285_1|1|1|lnu(F)|lnu(F)|nucleotidyltransferase|2|LINCOSAMIDE|LINCOSAMIDE|lincosamide_nucleotidyltransferase_Lnu(F)	LINCOSAMIDE
1105502134|WP_071846286_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1105502135|WP_071846287_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1105502136|WP_071846288_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502139|WP_071846291_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502140|WP_071846292_1|1|1|qacF|qacF|efflux|2|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|quaternary_ammonium_compound_efflux_SMR_transporter_QacF	STRESS
1105502141|WP_071846293_1|1|1|dfrA1|dfrA1|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA1	TRIMETHOPRIM
1105502143|WP_071846295_1|1|1|dfrA1|dfrA1|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA1	TRIMETHOPRIM
1105502144|WP_071846296_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502145|WP_071846297_1|1|1|aadA6|aadA6|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA6	AMINOGLYCOSIDE
1105502146|WP_071846298_1|1|1|aadA6|aadA6|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA6	AMINOGLYCOSIDE
1105502149|WP_071846301_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502150|WP_071846302_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1105502151|WP_071846303_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502152|WP_071846304_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502153|WP_071846305_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502154|WP_071846306_1|1|1|dfrA1|dfrA1|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA1	TRIMETHOPRIM
1105502155|WP_071846307_1|1|2|estX|estX||0|||bifunctional_putative_esterase_EstX_streptothricin_N-acetyltransferase_Sat1	STREPTOTHRICIN
1105502156|WP_071846308_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502158|WP_071846309_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502159|WP_071846310_1|1|1|aac(6_)-Iz|aac(6_)-Iz|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Iz	AMINOGLYCOSIDE
1105502160|WP_071846311_1|1|1|catB3|catB3|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_B-3_chloramphenicol_O-acetyltransferase_CatB3	PHENICOL
1105502161|WP_071846312_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502162|WP_071846313_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502163|WP_071846314_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502164|WP_071846315_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502165|WP_071846316_1|1|1|dfrB4|dfrB4|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrB4	TRIMETHOPRIM
1105502166|WP_071846317_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502167|WP_071846318_1|1|1|aac(6_)-Il|aac(6_)-Il|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-Il	AMINOGLYCOSIDE
1105502168|WP_071846319_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502170|WP_071846321_1|1|1|aadA22|aadA22|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA22	AMINOGLYCOSIDE
1105502171|WP_071846322_1|1|1|aadA8|aadA8|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	AMINOGLYCOSIDE
1105502172|WP_071846323_1|1|1|aadA8|aadA8|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	AMINOGLYCOSIDE
1105502173|WP_071846324_1|1|1|aadA8|aadA8|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	AMINOGLYCOSIDE
1105502174|WP_071846325_1|1|1|aadA8|aadA8|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA8	AMINOGLYCOSIDE
1105502175|WP_071846326_1|1|1|aadA7|aadA7|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	AMINOGLYCOSIDE
1105502176|WP_071846327_1|1|1|aadA10|aadA10|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA10	AMINOGLYCOSIDE
1105502177|WP_071846328_1|1|1|aadA9|aadA9|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	AMINOGLYCOSIDE
1105502178|WP_071846329_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502180|WP_071846331_1|1|1|qacF|qacF|efflux|2|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|quaternary_ammonium_compound_efflux_SMR_transporter_QacF	STRESS
1105502182|WP_071846332_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502183|WP_071846333_1|1|1|aac(6_)_Serra|aac(6_)_Serra|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502184|WP_071846334_1|1|1|aac(6_)-set_A|aac(6_)-set_A|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502185|WP_071846335_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502186|WP_071846336_1|1|1|ere(A)|ere(A)|esterase|2|MACROLIDE|MACROLIDE|EreA_family_erythromycin_esterase	MACROLIDE
1105502187|WP_071846337_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502188|WP_071846338_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502189|WP_071846339_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502190|WP_071846340_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502191|WP_071846341_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502192|WP_071846342_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502193|WP_071846343_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502194|WP_071846344_1|1|1|aadA9|aadA9|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA9	AMINOGLYCOSIDE
1105502195|WP_071846345_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502196|WP_071846346_1|1|1|aadA3|aadA3|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3	AMINOGLYCOSIDE
1105502197|WP_071846347_1|1|1|catB3|catB3|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_B-3_chloramphenicol_O-acetyltransferase_CatB3	PHENICOL
1105502199|WP_071846349_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502200|WP_071846350_1|1|1|catB3|catB3|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_B-3_chloramphenicol_O-acetyltransferase_CatB3	PHENICOL
1105502202|WP_071846352_1|1|1|aacA-STR-13|aacA-STR-13|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502203|WP_071846353_1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502204|WP_071846354_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502205|WP_071846355_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1105502206|WP_071846356_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1105502207|WP_071846357_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502208|WP_071846358_1|1|1|blaCARB-55|blaPSE|hydrolase|2|BETA-LACTAM|BETA-LACTAM|PSE_family_carbenicillin-hydrolyzing_class_A_beta-lactamase_CARB-55	BETA-LACTAM
1105502209|WP_071846359_1|1|1|aac(3)-If|aac(3)-If|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(3)-If	AMINOGLYCOSIDE
1105502210|WP_071846360_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502211|WP_071846361_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502212|WP_071846362_1|1|1|aadA6|aadA6|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA6	AMINOGLYCOSIDE
1105502213|WP_071846363_1|1|1|catB3|catB3|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_B-3_chloramphenicol_O-acetyltransferase_CatB3	PHENICOL
1105502214|WP_071846364_1|1|1|aadA3|aadA3|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3	AMINOGLYCOSIDE
1105502216|WP_071846366_1|1|1|dfrA1|dfrA1|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA1	TRIMETHOPRIM
1105502217|WP_071846367_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502218|WP_071846368_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia	AMINOGLYCOSIDE
1105502219|WP_071846369_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502220|WP_071846370_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502221|WP_071846371_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502222|WP_071846372_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1105502223|WP_071846373_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502224|WP_071846374_1|1|1|aac(6_)-IIa|aac(6_)-IIa|acetyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_N-acetyltransferase_AAC(6_)-IIa	AMINOGLYCOSIDE
1105502225|WP_071846375_1|1|1|catB3|catB3|acetyltransferase|2|CHLORAMPHENICOL|PHENICOL|type_B-3_chloramphenicol_O-acetyltransferase_CatB3	PHENICOL
1105502226|WP_071846376_1|1|1|aacA43|aacA43|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|AAC(6_)-Ia_family_aminoglycoside_6_-N-acetyltransferase_AacA43	AMINOGLYCOSIDE
1105502229|WP_071846379_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1105502231|WP_071846381_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1105502232|WP_071846382_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502233|WP_071846383_1|1|1|dfrA12|dfrA12|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA12	TRIMETHOPRIM
1105502234|WP_071846384_1|1|1|blaOXA-541|blaOXA-2_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-2_family_class_D_beta-lactamase_OXA-541	BETA-LACTAM
1105502235|WP_071846385_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1105502236|WP_071846386_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1105502237|WP_071846387_1|1|1|dfrA1|dfrA1|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA1	TRIMETHOPRIM
1105502238|WP_071846388_1|1|1|dfrA5|dfrA5|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA5	TRIMETHOPRIM
110614316|ABF02983_1|1|1|ipaH1|ipaH1||1|||T3SS_effector_E3_ubiquitin-protein_ligase_IpaH1_H6	VIRULENCE
110615361|ABF04028_1|1|1|ipaH2|ipaH2||1|||T3SS_effector_E3_ubiquitin-protein_ligase_IpaH2	VIRULENCE
1106361869|SGR88168_1|1|1|seu|seu||1|||staphylococcal_enterotoxin_type_U	VIRULENCE
1106361870|SGR88193_1|1|1|sei|sei||1|||staphylococcal_enterotoxin_type_I	VIRULENCE
1106361871|SGR88215_1|1|1|sem|sem||1|||staphylococcal_enterotoxin_type_M	VIRULENCE
110681648|BAE98279_1|1|1|bfpA|bfpA||1|||bundle-forming_pilus_major_subunit_BfpA	VIRULENCE
110681652|BAE98281_1|1|1|bfpA|bfpA||1|||bundle-forming_pilus_major_subunit_BfpA	VIRULENCE
11071585|CAC14596_1|1|1|smeF|smeF|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_RND_transporter_outer_membrane_subunit_SmeF	EFFLUX
1110760737|WP_071984682_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1114603964|WP_072081991_1|1|1|blmA|blmA|sequestration|2|BLEOMYCIN|BLEOMYCIN|bleomycin_binding_protein_BLMA	BLEOMYCIN
1114603965|WP_072081992_1|1|1|blaKPC-28|blaKPC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|inhibitor-resistant_extended-spectrum_class_A_beta-lactamase_KPC-28	BETA-LACTAM
1114603966|WP_072081993_1|1|1|blaSHV-197|blaSHV|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_SHV-197	BETA-LACTAM
1115553591|WP_072124806_1|1|1|blaLEN-34|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-34	BETA-LACTAM
1116002347|WP_072139974_1|1|1|blaACT-84|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-84	BETA-LACTAM
1118555868|WP_072186106_1|1|1|blaRUB-1|blaRUB|hydrolase|2|BETA-LACTAM|BETA-LACTAM|broad-spectrum_class_A_beta-lactamase_RUB-1	BETA-LACTAM
1119142800|WP_072201103_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1119314405|WP_072292271_1|1|1|blaADC-186|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-186	BETA-LACTAM
1119333767|WP_072310976_1|1|1|mcr-8_2|mcr-8||2|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-8_2	COLISTIN
1119444899|WP_072419811_1|1|1|fosY|fosY|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_bacillithiol_transferase_FosY	FOSFOMYCIN
1119781282|WP_072678505_1|1|1|blaOXA-732|blaOXA-732_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-732	BETA-LACTAM
1121224695|WP_073552023_1|1|1|blaGOB-47|blaGOB|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B3_metallo-beta-lactamase_GOB-47	BETA-LACTAM
1121341902|WP_073647245_1|1|1|blaPDC-213|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-213	BETA-LACTAM
1121408346|WP_073668892_1|1|1|blaKPC-31|blaKPC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|inhibitor-resistant_extended-spectrum_class_A_beta-lactamase_KPC-31	BETA-LACTAM
1121409587|WP_073669325_1|1|1|blaPDC-285|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-285	BETA-LACTAM
1121570438|WP_073800284_1|1|1|blaKPC-32|blaKPC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|inhibitor-resistant_extended-spectrum_class_A_beta-lactamase_KPC-32	BETA-LACTAM
1123848914|WP_074385924_1|1|1|blaLEN-43|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-43	BETA-LACTAM
1125678991|WP_075040046_1|1|1|blaOXA-817|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-817	BETA-LACTAM
1125744093|WP_075071939_1|1|1|blaOXA-1089|blaOXA-1089_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1089	BETA-LACTAM
1125797653|WP_075112279_1|1|1|blaOXA-959|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_OXA-959	BETA-LACTAM
1127299515|WP_075226241_1|1|1|blaPSV-1|blaPSV|hydrolase|2|BETA-LACTAM|BETA-LACTAM|penicillin-hydrolyzing_class_A_beta-lactamase_PSV-1	BETA-LACTAM
